hash,mode,bits,bin_bits,bin_percent,count
SHA-1,bitas,160,91,56.875,1408
SHA-1,bitas,160,92,57.500,1071
SHA-1,bitas,160,93,58.125,810
SHA-1,bitas,160,94,58.750,541
SHA-1,bitas,160,95,59.375,403
SHA-1,bitas,160,96,60.000,261
SHA-1,bitas,160,97,60.625,176
SHA-1,bitas,160,98,61.250,96
SHA-1,bitas,160,99,61.875,64
SHA-1,bitas,160,100,62.500,40
SHA-1,bitas,160,101,63.125,25
SHA-1,bitas,160,102,63.750,19
SHA-1,bitas,160,103,64.375,6
SHA-1,bitas,160,104,65.000,5
SHA-1,bitas,160,105,65.625,1
SHA-1,bitas,160,106,66.250,3
SHA-256,bitas,256,95,37.109,2
SHA-256,bitas,256,96,37.500,2
SHA-256,bitas,256,97,37.891,1
SHA-256,bitas,256,98,38.281,3
SHA-256,bitas,256,99,38.672,9
SHA-256,bitas,256,100,39.062,7
SHA-256,bitas,256,101,39.453,16
SHA-256,bitas,256,102,39.844,30
SHA-256,bitas,256,103,40.234,36
SHA-256,bitas,256,104,40.625,64
SHA-256,bitas,256,105,41.016,86
SHA-256,bitas,256,106,41.406,105
SHA-256,bitas,256,107,41.797,148
SHA-256,bitas,256,108,42.188,217
SHA-256,bitas,256,109,42.578,294
SHA-256,bitas,256,110,42.969,427
SHA-256,bitas,256,111,43.359,520
SHA-256,bitas,256,112,43.750,644
SHA-256,bitas,256,113,44.141,878
SHA-256,bitas,256,114,44.531,1109
SHA-256,bitas,256,115,44.922,1317
SHA-256,bitas,256,116,45.312,1668
SHA-256,bitas,256,117,45.703,1916
SHA-256,bitas,256,118,46.094,2211
SHA-256,bitas,256,119,46.484,2748
SHA-256,bitas,256,120,46.875,3038
SHA-256,bitas,256,121,47.266,3449
SHA-256,bitas,256,122,47.656,3783
SHA-256,bitas,256,123,48.047,4030
SHA-256,bitas,256,124,48.438,4386
SHA-256,bitas,256,125,48.828,4506
SHA-256,bitas,256,126,49.219,4880
SHA-256,bitas,256,127,49.609,5017
SHA-256,bitas,256,128,50.000,5011
SHA-256,bitas,256,129,50.391,5021
SHA-256,bitas,256,130,50.781,4775
SHA-256,bitas,256,131,51.172,4808
SHA-256,bitas,256,132,51.562,4457
SHA-256,bitas,256,133,51.953,4100
SHA-256,bitas,256,134,52.344,3728
SHA-256,bitas,256,135,52.734,3339
SHA-256,bitas,256,136,53.125,3070
SHA-256,bitas,256,137,53.516,2558
SHA-256,bitas,256,138,53.906,2215
SHA-256,bitas,256,139,54.297,1907
SHA-256,bitas,256,140,54.688,1602
SHA-256,bitas,256,141,55.078,1366
SHA-256,bitas,256,142,55.469,1054
SHA-256,bitas,256,143,55.859,854
SHA-256,bitas,256,144,56.250,703
SHA-256,bitas,256,145,56.641,545
SHA-256,bitas,256,146,57.031,370
SHA-256,bitas,256,147,57.422,275
SHA-256,bitas,256,148,57.812,209
SHA-256,bitas,256,149,58.203,141
SHA-256,bitas,256,150,58.594,113
SHA-256,bitas,256,151,58.984,75
SHA-256,bitas,256,152,59.375,46
SHA-256,bitas,256,153,59.766,36
SHA-256,bitas,256,154,60.156,25
SHA-256,bitas,256,155,60.547,16
SHA-256,bitas,256,156,60.938,16
SHA-256,bitas,256,157,61.328,7
SHA-256,bitas,256,158,61.719,4
SHA-256,bitas,256,159,62.109,4
SHA-256,bitas,256,160,62.500,1
SHA-256,bitas,256,161,62.891,2
